"","Cluster","Indicator","MeanCover","MinCover","MaxCover"
"1","V1","AH_NonNoxAnnForbCover",0.94,0,10.33
"2","V1","AH_NonNoxAnnGrassCover",1.75,0,32.67
"3","V1","AH_NonNoxPerenForbCover",1.26,0,10.89
"4","V1","AH_NonNoxPerenGrassCover",3.43,0,13.67
"5","V1","AH_NonNoxShrubCover",13.78,0,30
"6","V1","AH_NonNoxSubShrubCover",0.83,0,9.9
"7","V1","AH_NonNoxSucculentCover",0.17,0,1.98
"8","V1","AH_NoxCover",0.02,0,0.67
"9","V1","BareSoilCover",16.52,1.98,30.33
"10","V1","GapCover_101_200",12.76,1.67,24.66
"11","V1","GapCover_200_plus",59.21,42.03,86.04
"12","V10","AH_NonNoxAnnForbCover",1.03,0,7
"13","V10","AH_NonNoxAnnGrassCover",1.86,0,27
"14","V10","AH_NonNoxPerenForbCover",1.76,0,10.67
"15","V10","AH_NonNoxPerenGrassCover",21.8,8,35.33
"16","V10","AH_NonNoxShrubCover",6.52,0,18.81
"17","V10","AH_NonNoxSubShrubCover",3.09,0,20.67
"18","V10","AH_NonNoxSucculentCover",3.1,0,14.67
"19","V10","AH_NonNoxTreeCover",1.71,0,17.82
"20","V10","AH_NoxCover",0.26,0,9.33
"21","V10","BareSoilCover",8.35,0,21.78
"22","V10","GapCover_101_200",20.64,11.08,35.87
"23","V10","GapCover_200_plus",13.18,0,27.47
"24","V2","AH_NonNoxAnnForbCover",2.01,0,22.67
"25","V2","AH_NonNoxAnnGrassCover",1.73,0,18.67
"26","V2","AH_NonNoxPerenForbCover",2.18,0,25.74
"27","V2","AH_NonNoxPerenGrassCover",58.14,36.33,90
"28","V2","AH_NonNoxShrubCover",2.62,0,28.33
"29","V2","AH_NonNoxSubShrubCover",2.54,0,18.33
"30","V2","AH_NonNoxSucculentCover",1.88,0,25
"31","V2","AH_NonNoxTreeCover",0.93,0,14.85
"32","V2","AH_NoxCover",0.09,0,2.67
"33","V2","BareSoilCover",9.73,0,28.71
"34","V2","GapCover_101_200",4.27,0,14.15
"35","V2","GapCover_200_plus",1.18,0,14.52
"36","V3","AH_NonNoxAnnForbCover",0.86,0,14.33
"37","V3","AH_NonNoxAnnGrassCover",0.22,0,2.67
"38","V3","AH_NonNoxPerenForbCover",0.93,0,5.94
"39","V3","AH_NonNoxPerenGrassCover",3.47,0,21.78
"40","V3","AH_NonNoxShrubCover",15.57,0,38.61
"41","V3","AH_NonNoxSubShrubCover",3.48,0,16.83
"42","V3","AH_NonNoxSucculentCover",0.4,0,4
"43","V3","AH_NoxCover",0.21,0,13
"44","V3","BareSoilCover",56.12,37.62,82.18
"45","V3","GapCover_101_200",12.81,0,24.17
"46","V3","GapCover_200_plus",50.91,27.23,63.23
"47","V4","AH_NonNoxAnnForbCover",0.77,0,12.67
"48","V4","AH_NonNoxAnnGrassCover",0.58,0,10.33
"49","V4","AH_NonNoxPerenForbCover",0.86,0,9.33
