"","Cluster","Indicator","MeanCover"
"1","V9","AH_NonNoxAnnForbCover",10.2877877433333
"2","V8","AH_NonNoxAnnForbCover",2.69281045764706
"3","V2","AH_NonNoxAnnForbCover",1.96336633633333
"4","V6","AH_NonNoxAnnForbCover",1.62446244621212
"5","V7","AH_NonNoxAnnForbCover",1.58795763360465
"6","V5","AH_NonNoxAnnForbCover",1.35984784898305
"7","V10","AH_NonNoxAnnForbCover",1.3564629477193
"8","V1","AH_NonNoxAnnForbCover",1.03005657691176
"9","V3","AH_NonNoxAnnForbCover",1.02403754564706
"10","V4","AH_NonNoxAnnForbCover",0.766290582325581
"11","V9","AH_NonNoxAnnGrassCover",11.6592996215
"12","V8","AH_NonNoxAnnGrassCover",4.59606548843137
"13","V1","AH_NonNoxAnnGrassCover",2.68922816632353
"14","V10","AH_NonNoxAnnGrassCover",2.26933972350877
"15","V2","AH_NonNoxAnnGrassCover",1.72205720533333
"16","V6","AH_NonNoxAnnGrassCover",1.28221379166667
"17","V7","AH_NonNoxAnnGrassCover",1.26252974104651
"18","V5","AH_NonNoxAnnGrassCover",0.852436091186441
"19","V4","AH_NonNoxAnnGrassCover",0.577404251976744
"20","V3","AH_NonNoxAnnGrassCover",0.295711909764706
"21","V8","AH_NonNoxPerenForbCover",4.29107703196078
"22","V9","AH_NonNoxPerenForbCover",2.78838076416667
"23","V2","AH_NonNoxPerenForbCover",2.2402640265
"24","V10","AH_NonNoxPerenForbCover",1.83471958508772
"25","V7","AH_NonNoxPerenForbCover",1.75769437406977
"26","V6","AH_NonNoxPerenForbCover",1.53792503954545
"27","V5","AH_NonNoxPerenForbCover",1.19835542847458
"28","V1","AH_NonNoxPerenForbCover",1.17405774161765
"29","V3","AH_NonNoxPerenForbCover",1.02316736894118
"30","V4","AH_NonNoxPerenForbCover",0.853941208023256
"31","V2","AH_NonNoxPerenGrassCover",57.8184908293333
"32","V5","AH_NonNoxPerenGrassCover",38.8679969715254
"33","V8","AH_NonNoxPerenGrassCover",31.5244505564706
"34","V10","AH_NonNoxPerenGrassCover",20.7548188370175
"35","V7","AH_NonNoxPerenGrassCover",17.1479222561628
"36","V6","AH_NonNoxPerenGrassCover",6.34241031242424
"37","V1","AH_NonNoxPerenGrassCover",4.03223368544118
"38","V3","AH_NonNoxPerenGrassCover",3.91733643952941
"39","V9","AH_NonNoxPerenGrassCover",3.66368793933333
"40","V4","AH_NonNoxPerenGrassCover",2.39327653697674
"41","V6","AH_NonNoxShrubCover",23.3399933313636
"42","V8","AH_NonNoxShrubCover",21.3715352645098
"43","V3","AH_NonNoxShrubCover",15.0730850135294
"44","V1","AH_NonNoxShrubCover",13.0750963760294
"45","V9","AH_NonNoxShrubCover",12.8960227435
"46","V4","AH_NonNoxShrubCover",8.48269245546512
"47","V7","AH_NonNoxShrubCover",6.89711413034884
